ids,ages,orders,purchases,bookmarks,replies,ratings,period
47009,42,95,3509917.0,9,14,26,26
74838,41,10,673392.0,10,24,72,40
34976,20,23,1943940.0,6,20,51,19
34959,37,46,1981730.0,0,26,52,19
36710,36,93,386907.0,10,30,59,20
33454,19,39,2077077.0,0,11,33,18
44320,28,92,11058937.0,12,17,42,24
70689,36,81,7612679.0,11,39,104,38
69472,29,80,2448077.0,2,34,62,37
68175,25,91,5635131.0,1,3,4,36
1752,31,68,5955937.0,9,9,0,1
2208,30,19,647256.0,2,18,38,2
9988,24,44,1675345.0,5,20,63,6
36221,25,56,300000.0,12,0,0,20
6671,34,43,1602181.0,1,16,60,4
59363,34,89,5624419.0,0,38,60,32
52587,36,50,5697662.0,10,11,32,28
46477,18,81,4533945.0,5,25,107,25
68726,43,97,4579186.0,12,2,2,20
38495,54,63,2756861.0,1,23,44,21
23834,41,42,3137290.0,12,3,5,13
16092,19,21,309720.0,7,5,15,9
69738,37,25,1935327.0,0,32,88,37
3724,19,55,300000.0,11,27,68,3
20454,22,86,3428182.0,6,29,56,11
40222,22,27,1485364.0,8,16,59,22
58256,30,42,1576921.0,4,10,17,31
47646,42,19,3257291.0,7,36,126,26
12166,40,27,1056900.0,0,13,47,7
1956,33,13,881744.0,5,1,1,2
43516,21,71,5560022.0,2,38,145,19
16363,45,80,3168260.0,12,12,33,9
28771,23,41,4341966.0,8,11,21,3
4436,19,74,2048945.0,6,25,66,3
47048,35,68,798362.0,3,39,87,26
38462,53,47,3716737.0,8,10,23,21
31482,38,16,1083128.0,11,27,47,17
9213,39,31,3183045.0,8,12,37,6
15596,21,9,329635.0,10,9,21,9
17791,32,50,1560383.0,10,0,0,10
33122,26,28,1343830.0,3,1,3,18
61464,23,33,1844601.0,5,0,0,33
12494,40,43,1407423.0,4,10,11,38
29560,37,6,269430.0,6,8,23,16
64796,41,92,5699686.0,6,32,87,35
11745,36,34,3334557.0,2,31,0,7
4498,27,78,2992284.0,2,16,56,3
62213,22,77,5727685.0,4,33,56,33
1401,43,19,671705.0,3,5,17,1
24273,23,61,1904211.0,1,25,57,14
6685,36,79,3141977.0,0,37,95,4
43116,25,15,1246642.0,12,15,18,23
20226,35,37,426781.0,6,17,48,11
42032,24,12,732009.0,4,2,4,23
64979,33,65,4847480.0,2,33,125,35
