enrollment_code,gender,bonus,penalty,school_code
QEHRNZ,F,0.0,0.0,SWHS
IUGTFR,F,1.6,0.0,PYHS
PWJCQA,M,0.0,0.0,NKHS
ZYFHCX,F,5.5,0.0,NKHS
KIBAHX,M,0.6,0.0,MWHS
NYXTAV,M,3.7,0.0,SWHS
IJVZHO,F,3.1,0.5,SSHS
LUWPRC,M,3.1,0.0,PYHS
SROJAG,F,0.6,0.0,SSHS
QVLVME,M,3.7,1.0,NKHS
DRQNKR,F,4.9,0.5,SWHS
MUIHBJ,F,1.0,0.0,SWHS
NDHNMY,F,0.7,0.0,HJHS
SCFRTZ,F,4.4,2.0,HJHS
JSILQS,M,5.4,0.0,HJHS
AEDVVP,M,1.6,0.0,NKHS
YJHJVA,M,3.6,1.0,NKHS
MMCFDD,F,5.3,0.5,NKHS
GUIBFK,M,2.2,0.0,MWHS
VUWOFV,M,2.1,0.5,HJHS
FYCCIB,F,2.3,0.0,HJHS
ENIFTV,M,2.1,2.0,SWHS
WECFIW,M,0.0,0.0,HJHS
ZPEBGV,F,1.6,0.5,PYHS
GYDIMH,F,3.1,0.5,HJHS
JTARBG,M,6.4,0.0,HJHS
ESSOXI,M,2.3,1.5,MWHS
MLZCWS,M,1.2,0.0,HJHS
OONEXW,M,0.0,0.0,SSHS
VCXUQZ,M,0.2,1.0,SWHS
ZHEQFH,F,0.0,0.0,MWHS
ZBPCGU,M,0.9,1.0,SSHS
WPKRBW,M,0.2,0.0,SWHS
THYZDW,M,3.6,0.0,HJHS
TRRYYR,M,0.0,0.0,SWHS
LKXORB,F,0.6,0.5,NKHS
LHUCFY,M,2.9,0.5,SSHS
XQNRDT,M,0.0,2.0,SSHS
ZPSTEV,F,0.0,0.0,HJHS
KETZLZ,F,1.4,0.0,HJHS
FVBRRS,M,5.7,0.0,SWHS
PSPFPG,M,3.1,0.5,SSHS
EIBGGL,F,1.3,0.0,NKHS
UZRXHK,M,1.4,0.0,PYHS
QVJUWU,F,1.0,0.5,PYHS
XFROXR,F,1.9,0.5,SWHS
BHCFPG,M,1.9,0.0,NKHS
CFWUGJ,M,0.8,0.0,SSHS
YKNMJQ,M,4.0,0.0,PYHS
IOLUKQ,M,2.5,0.0,SWHS
ZGDJOZ,F,2.7,0.0,SWHS
ALSEUR,F,4.0,0.0,MWHS
RFOLPG,M,0.0,0.0,SWHS
FEXTCO,F,2.5,0.0,PYHS
LMQNQQ,F,0.0,0.0,HJHS
VPOUMJ,F,0.3,1.5,NKHS
CUSGPK,M,0.0,0.5,SSHS
NXVICA,F,1.5,0.0,SSHS
VQJJRW,F,1.7,0.5,MWHS
JNXNRL,M,1.7,0.0,SWHS
XNIPMJ,F,2.1,0.0,MWHS
JOZJRG,F,3.9,0.5,SWHS
KZPDCS,M,5.6,1.0,MWHS
KXFHCS,F,3.1,0.0,HJHS
XRNAGQ,M,2.9,0.0,HJHS
ZJGRRC,M,0.3,0.0,SSHS
NMAHZF,F,3.6,0.0,NKHS
FPHMUK,M,2.9,0.0,HJHS
ROUBHN,M,2.0,0.0,HJHS
XXBQWE,M,0.0,0.0,HJHS
FIAANT,F,3.1,0.5,SSHS
GSMJJX,M,2.3,0.0,SWHS
WTUMBH,F,0.4,0.0,SSHS
QWGEVE,M,0.0,0.5,SSHS
QVBWBZ,F,2.6,0.5,NKHS
ZAESDS,F,2.4,0.0,NKHS
WSATZV,F,3.8,1.5,SWHS
YYYMRO,M,2.6,0.0,NKHS
GEIKSC,F,6.4,0.0,NKHS
ZFESUD,F,1.1,0.0,MWHS
EDVBPJ,F,5.0,0.0,NKHS
XANXFS,M,0.0,0.0,PYHS
FRKSIW,M,3.7,0.5,MWHS
JHESHV,M,3.9,0.0,SWHS
