goods,purchases,parking,rental_bag,date
25,96120.0,0,2,2023-02-07
13,49710.0,0,2,2022-11-18
28,247380.0,1,2,2023-02-20
3,174430.0,1,0,2022-12-10
8,35510.0,0,1,2022-11-19
16,90330.0,0,0,2022-12-21
17,83850.0,1,2,2022-12-02
30,214130.0,0,2,2023-02-21
21,82040.0,1,2,2023-02-13
18,133180.0,0,2,2023-02-21
21,169020.0,1,2,2023-01-30
23,166190.0,1,2,2022-12-31
11,,0,0,2023-02-05
25,112800.0,0,2,2022-11-25
16,107560.0,1,0,2023-01-14
0,0.0,1,2,2023-02-20
30,256700.0,0,2,2022-12-07
11,91010.0,1,1,2022-11-20
20,179420.0,1,2,2022-11-17
2,6760.0,0,0,2023-02-28
1,7280.0,1,2,2023-02-12
22,105700.0,1,2,2022-11-15
10,74490.0,0,1,2022-11-01
11,77170.0,0,0,2022-12-02
7,29440.0,0,1,2023-02-26
16,148510.0,0,2,2023-02-09
12,,0,0,2022-12-07
22,,0,2,2023-02-24
20,,0,0,2022-12-27
24,102380.0,0,2,2022-11-28
13,86820.0,0,2,2022-12-23
12,,1,1,2023-01-24
0,0.0,0,1,2023-02-23
6,26200.0,0,0,2023-01-12
26,99270.0,0,2,2022-12-06
3,11840.0,0,0,2023-02-04
10,50010.0,0,0,2023-02-18
6,32660.0,1,1,2023-02-09
15,103910.0,1,2,2023-02-03
25,,1,2,2023-02-08
6,32100.0,0,1,2023-01-16
4,,0,0,2022-12-11
11,,0,1,2022-11-11
12,57780.0,0,0,2023-01-03
17,151550.0,1,2,2022-11-13
31,213600.0,0,2,2023-02-13
8,372950.0,1,1,2022-12-18
2,9200.0,1,0,2023-02-25
18,,0,2,2023-02-13
6,45610.0,0,0,2023-02-15
9,84840.0,0,1,2023-02-11
3,184180.0,1,1,2023-01-02
4,28880.0,1,2,2023-01-22
13,,0,2,2022-12-16
29,257900.0,0,0,2023-02-14
25,226140.0,1,2,2022-12-27
16,145100.0,0,2,2022-11-21
7,51900.0,0,0,2022-11-22
17,,1,2,2022-12-28
6,49300.0,0,1,2022-11-02
7,23820.0,0,1,2022-12-28
1,5170.0,1,1,2022-11-29
28,177460.0,0,0,2023-01-02
15,82710.0,0,2,2022-12-18
8,627590.0,1,1,2022-11-03
2,414230.0,1,0,2022-11-28
5,806600.0,1,1,2022-12-12
22,86950.0,0,2,2022-12-31
0,0.0,0,0,2022-12-26
6,33860.0,1,1,2023-01-28
11,61180.0,1,1,2022-11-07
20,13310.0,0,2,2022-12-15
1,5660.0,1,2,2023-01-11
30,202900.0,1,2,2022-12-01
13,83210.0,0,2,2022-11-23
31,284990.0,0,0,2022-12-07
19,129720.0,0,2,2022-11-05
10,66810.0,0,0,2022-12-11
21,150770.0,0,0,2023-01-14
19,165940.0,1,2,2022-11-09
21,97580.0,0,2,2022-11-06
2,92430.0,0,0,2022-11-26
12,49940.0,0,0,2023-02-07
26,213770.0,1,2,2023-01-19
24,133450.0,1,2,2023-01-20
4,15820.0,0,0,2023-02-26
23,82160.0,1,2,2022-12-14
14,119390.0,1,0,2023-01-30
22,87440.0,0,2,2022-12-06
14,119610.0,0,2,2022-11-04
31,167590.0,1,2,2023-02-20
30,98050.0,1,0,2023-01-17
20,105010.0,0,2,2023-02-06
